,pack,level_id,question,question_r,solution_r,solution_nl,solution_tool,solution_symbol,initial_symbol
73,Eta,https://euclidea.fandom.com/wiki/Circle_Tangent_to_Three_Lines,"Description: Construct a circle that is tangent to the three given lines. Two of the lines are parallel.Given the intersections of the lines A and B.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle that is tangent to the three given lines. Two of the lines are parallel.Given the intersections of the lines A and B.
Solution: ","Construct the angle bisector of  angle CAB, with C an arbitrary point on one of the parallel lines.
Construct the angle bisector of  angle ABD, with D an arbitrary point on the other parallel line and on the same side as C from the third given line, intersecting the angle bisector of  angle CAB at E
Construct the perpendicular to AB through E, intersecting AB at F
Construct the circle with center E and radius EF
Rationale: None","<Angle Bisector Tool>Construct the angle bisector of  angle CAB, with C an arbitrary point on one of the parallel lines.
<Angle Bisector Tool>Construct the angle bisector of  angle ABD, with D an arbitrary point on the other parallel line and on the same side as C from the third given line, intersecting the angle bisector of  angle CAB at E
<Perpendicular Tool>Construct the perpendicular to AB through E, intersecting AB at F
<Circle Tool>Construct the circle with center E and radius EF","['Angle Bisector Tool', 'Angle Bisector Tool', 'Perpendicular Tool', 'Circle Tool']","[['A', 'B'], ['C', 'CAB'], ['ABD', 'E', 'D'], ['AB', 'F'], ['EF']]","['A', 'B']"
74,Eta,https://euclidea.fandom.com/wiki/Segment_by_Midpoint,"Description: Construct a segment with the ends on the sides of the angle such that the given point is its midpoint.Let A be the vertex of the angle and B the midpoint.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a segment with the ends on the sides of the angle such that the given point is its midpoint.Let A be the vertex of the angle and B the midpoint.
Solution: ","Construct parallel of one ray through B, intersecting the other ray at C
Construct the circle with center C and radius AC, intersecting AC at D
Construct line BD
Rationale: Creating the parallel line sets up two 1:2 similar triangles
","<Parallel Tool>Construct parallel of one ray through B, intersecting the other ray at C
<Circle Tool>Construct the circle with center C and radius AC, intersecting AC at D
<Line Tool>Construct line BD","['Parallel Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['C'], ['AC', 'D'], ['BD']]","['A', 'B']"
75,Eta,https://euclidea.fandom.com/wiki/Angle_Isosceles,"Description: Construct a line through the given point such that it cuts off equal segments on the sides of the angle.Let A be the vertex of the angle and B the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a line through the given point such that it cuts off equal segments on the sides of the angle.Let A be the vertex of the angle and B the point.
Solution: ","Construct the angle bisector A1 of the given angle
Construct the perpendicular to A1 through B
Rationale: None","<Angle Bisector Tool>Construct the angle bisector A1 of the given angle
<Perpendicular Tool>Construct the perpendicular to A1 through B","['Angle Bisector Tool', 'Perpendicular Tool']","[['A', 'B'], [], []]","['A', 'B']"
76,Eta,https://euclidea.fandom.com/wiki/Excircle,"Description: Construct the excircle of the triangle formed by the three given lines.Let A, B and C be the intersections of the lines.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct the excircle of the triangle formed by the three given lines.Let A, B and C be the intersections of the lines.
Solution: ","Construct the angle bisector A1 of  angle DAB, with D an arbitrary point on the line that intersects AB at A
Construct the angle bisector A2 of  angle EBA, with E an arbitrary point on the line that intersects AB at B, intersecting A1 at F
Construct the perpendicular to AB through F, intersecting AB at G
Construct the circle with center F and radius FG
Rationale: None","<Angle Bisector Tool>Construct the angle bisector A1 of  angle DAB, with D an arbitrary point on the line that intersects AB at A
<Angle Bisector Tool>Construct the angle bisector A2 of  angle EBA, with E an arbitrary point on the line that intersects AB at B, intersecting A1 at F
<Perpendicular Tool>Construct the perpendicular to AB through F, intersecting AB at G
<Circle Tool>Construct the circle with center F and radius FG","['Angle Bisector Tool', 'Angle Bisector Tool', 'Perpendicular Tool', 'Circle Tool']","[['A', 'B', 'C'], ['DAB', 'AB', 'D'], ['E', 'EBA', 'F'], ['G'], ['FG']]","['A', 'B', 'C']"
77,Theta,https://euclidea.fandom.com/wiki/Perimeter_Bisector,"Description: Construct a straight line through a vertex of the triangle that divides its perimeter in half.Let A, B, and C be the vertices of the triangle
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a straight line through a vertex of the triangle that divides its perimeter in half.Let A, B, and C be the vertices of the triangle
Solution: ","Construct a circle with center A and radius BC intersecting line AC at D
Construct a circle with center C and radius AB intersecting line AC at E
Construct the perpendicular bisector of DE intersecting line AC at F
Construct the line BF
Rationale: None","<Line Tool>Construct a circle with center A and radius BC intersecting line AC at D
<Line Tool>Construct a circle with center C and radius AB intersecting line AC at E
<Perpendicular Tool>Construct the perpendicular bisector of DE intersecting line AC at F
<Line Tool>Construct the line BF","['Line Tool', 'Line Tool', 'Perpendicular Tool', 'Line Tool']","[['A', 'B', 'C'], ['AC', 'BC', 'D'], ['AB', 'E'], ['DE', 'F'], ['BF']]","['A', 'B', 'C']"
78,Theta,https://euclidea.fandom.com/wiki/Angle_54%C2%B0_Trisection,"Description: Construct two rays that divide the given angle of 54° into three equal parts.Let A be the vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct two rays that divide the given angle of 54° into three equal parts.Let A be the vertex.
Solution: ","Construct a circle with center B on either line and radius AB. Circle B intersects with line AB at point C, and the other line at point D.
Construct a circle with center D and radius AD. Circle D intersects with circle B at point E.
Draw line AE, the first angle trisector.
Bisect angle DAE, the second angle trisector.
Rationale: As mentioned in the FAQ, trisection of an angle is not possible in general case, so you need to use that 54/3 = 18. You can also note that 90-54 = 36 = 2*18 and so on.
","<Line Tool>Construct a circle with center B on either line and radius AB. Circle B intersects with line AB at point C, and the other line at point D.
<Circle Tool>Construct a circle with center D and radius AD. Circle D intersects with circle B at point E.
<Line Tool>Draw line AE, the first angle trisector.
<Angle Bisector Tool>Bisect angle DAE, the second angle trisector.","['Line Tool', 'Circle Tool', 'Line Tool', 'Angle Bisector Tool']","[['A'], ['B', 'AB', 'C', 'D'], ['E', 'AD'], ['AE'], ['DAE']]",['A']
79,Theta,https://euclidea.fandom.com/wiki/Interior_Angles,"Description: Construct a line through the point that crosses the two lines so that the interior angles are equal.Let A be the point of intersection between the two lines.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a line through the point that crosses the two lines so that the interior angles are equal.Let A be the point of intersection between the two lines.
Solution: "," Let B be an arbitrary point on one of the lines, and C an arbitrary point on the other. Let O be the given point.
Bisect the angle BAC. The new line contains an arbitrary point D.
Construct the line perpendicular to AD through O.
Rationale: None","<Point Tool> Let B be an arbitrary point on one of the lines, and C an arbitrary point on the other. Let O be the given point.
<Angle Bisector Tool>Bisect the angle BAC. The new line contains an arbitrary point D.
<Perpendicular Tool>Construct the line perpendicular to AD through O.","['Point Tool', 'Angle Bisector Tool', 'Perpendicular Tool']","[['A'], ['B', 'C', 'O'], ['D', 'BAC'], ['AD']]",['A']
80,Theta,https://euclidea.fandom.com/wiki/Regular_Octagon,"Description: Construct a regular octagon with the given side.Let point A and point B be the two given points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a regular octagon with the given side.Let point A and point B be the two given points.
Solution: ","Construct the perpendicular to line AB through point A. Let point C be an arbitrary point on this new line (C below AB to match orientation of explore mode).
Construct the angle bisector of BAC. Let point D be an arbitrary point on this line.
Construct the perpendicular to line AD through point B. Let point E be an arbitrary point on this line on the opposite side of point B from point C.
Construct the angle bisector of ABE. This line intersects with line AD at point F and line AC at point G.
Construct the perpendicular to line AB through point F.
Construct the perpendicular to line AG through point G. This line intersects with line BE at point H.
Construct the perpendicular bisector of point B and point H. This line intersects with line BG at point I.
Construct the perpendicular of line AB through point I.
Construct the perpendicular of line AD through point G (total 29E).
Rationale: For the 9L solution, the emphasis is on producing the remaining 7 sides with as few extraneous moves as possible.  In a regular octagon, all internal angles are 135°, and external angles are 45°.  Like all regular polygons with an even number of sides, any interior angle bisector or perpendicular from a vertex intersects with another vertex.  Thus, the first two moves produce a 45° angle as fast as possible, and while the first four moves provide only two sides, they also serve to locate point G as one of the other vertices, as well as external point F and later I that can be used as the apex of an isosceles triangle to get other sides.  Every remaining move then adds another side, favoring tools with 3E cost (several of the moves could be replaced by a use of the Parallel tool, but at a cost of 4E).
","<Perpendicular Tool>Construct the perpendicular to line AB through point A. Let point C be an arbitrary point on this new line (C below AB to match orientation of explore mode).
<Line Tool>Construct the angle bisector of BAC. Let point D be an arbitrary point on this line.
<Perpendicular Tool>Construct the perpendicular to line AD through point B. Let point E be an arbitrary point on this line on the opposite side of point B from point C.
<Line Tool>Construct the angle bisector of ABE. This line intersects with line AD at point F and line AC at point G.
<Perpendicular Tool>Construct the perpendicular to line AB through point F.
<Perpendicular Tool>Construct the perpendicular to line AG through point G. This line intersects with line BE at point H.
<Perpendicular Tool>Construct the perpendicular bisector of point B and point H. This line intersects with line BG at point I.
<Perpendicular Tool>Construct the perpendicular of line AB through point I.
<Perpendicular Tool>Construct the perpendicular of line AD through point G (total 29E).","['Perpendicular Tool', 'Line Tool', 'Perpendicular Tool', 'Line Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['A', 'B'], ['AB', 'C'], ['D', 'BAC'], ['E', 'AD'], ['AC', 'ABE', 'G', 'F'], [], ['BE', 'AG', 'H'], ['I', 'BG'], [], []]","['A', 'B']"
81,Theta,https://euclidea.fandom.com/wiki/Triangle_Cleaver,"Description: Construct a line through the midpoint of a side of the triangle that bisects its perimeter.Let A, B, and C be the vertices of the triangle
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a line through the midpoint of a side of the triangle that bisects its perimeter.Let A, B, and C be the vertices of the triangle
Solution: ","Construct the perpendicular bisector of AC intersecting line AC at midpoint D
Construct the line BE that bisects the angle ABC
Draw the line parallel to BE that intersects D
Rationale: None","<Perpendicular Tool>Construct the perpendicular bisector of AC intersecting line AC at midpoint D
<Line Tool>Construct the line BE that bisects the angle ABC
<Line Tool>Draw the line parallel to BE that intersects D","['Perpendicular Tool', 'Line Tool', 'Line Tool']","[['A', 'B', 'C'], ['AC', 'D'], ['BE', 'ABC'], []]","['A', 'B', 'C']"
82,Theta,https://euclidea.fandom.com/wiki/Torricelli_Point,"Description: Construct a point from which each side subtends an angle of 120 or 60.Let A, B, and C be the vertices of the triangle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a point from which each side subtends an angle of 120 or 60.Let A, B, and C be the vertices of the triangle.
Solution: ","Construct circle A with center A and radius AB.
Construct circle B with center B and radius BA, intersecting circle A at D.
Construct line CD, intersecting circle B at E.
Construct line A as the perpendicular bisector of AE, intersecting line CD at F
Select point F using the point tool.
Rationale: I could not follow the steps above. I looked it up, and found this page (https://demonstrations.wolfram.com/TheTorricelliPoint/). Apparently, if you construct equilateral triangles based on each edge, each line going from an outer vertex to the opposite vertex of the original triangle will go through this point.
","<Circle Tool>Construct circle A with center A and radius AB.
<Circle Tool>Construct circle B with center B and radius BA, intersecting circle A at D.
<Line Tool>Construct line CD, intersecting circle B at E.
<Perpendicular Tool>Construct line A as the perpendicular bisector of AE, intersecting line CD at F
<Point Tool>Select point F using the point tool.","['Circle Tool', 'Circle Tool', 'Line Tool', 'Perpendicular Tool', 'Point Tool']","[['A', 'B', 'C'], ['AB'], ['D', 'BA'], ['CD', 'E'], ['AE', 'F'], []]","['A', 'B', 'C']"
83,Theta,https://euclidea.fandom.com/wiki/Circle_Equidistant_from_Four_Points,"Description: Construct a circle equidistant from the given four points so that exactly two of them lie inside the circle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle equidistant from the given four points so that exactly two of them lie inside the circle.
Solution: ","Construct the perpendicular bisector of AB
Construct the perpendicular bisector of CD intersecting the previous line at E
Construct the line AE
Construct a circle with center E and radius EC, intersecting AE at F
Construct the perpendicular bisector of AF, intersecting AE at G
Construct a circle with center E and radius EG
Rationale: None","<Perpendicular Tool>Construct the perpendicular bisector of AB
<Perpendicular Tool>Construct the perpendicular bisector of CD intersecting the previous line at E
<Line Tool>Construct the line AE
<Circle Tool>Construct a circle with center E and radius EC, intersecting AE at F
<Perpendicular Tool>Construct the perpendicular bisector of AF, intersecting AE at G
<Circle Tool>Construct a circle with center E and radius EG","['Perpendicular Tool', 'Perpendicular Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Tool', 'Circle Tool']","[[], ['AB'], ['CD', 'E'], ['AE'], ['EC', 'F'], ['G', 'AF'], ['EG']]",[]
84,Iota,https://euclidea.fandom.com/wiki/Minimum_Perimeter_-_1,"Description: Construct a triangle whose perimeter is the minimum possible whose vertices lie on the two sides of the angle and the third vertex is in the point A.Let O be the vertex of the angle and A the given point. Let B, C be abitary points on each ray, such that AB is bigger than AO and  AC is bigger than AO.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a triangle whose perimeter is the minimum possible whose vertices lie on the two sides of the angle and the third vertex is in the point A.Let O be the vertex of the angle and A the given point. Let B, C be abitary points on each ray, such that AB is bigger than AO and  AC is bigger than AO.
Solution: ","Construct circle O with center O and radius OA.
Construct circle B with center B and radius BA, intersecting circle O at F.
Construct circle B with center C and radius CA, intersecting circle O at G.
Construct line FG, intersecting line OB at H, intersecting line OC at I.
Construct line AH.
Construct line AI.
Rationale: For any points 



P


{\displaystyle P}

 on 



O
B


{\displaystyle OB}

 and 



Q


{\displaystyle Q}

 on 



O
C


{\displaystyle OC}

, we know:
","<Circle Tool>Construct circle O with center O and radius OA.
<Circle Tool>Construct circle B with center B and radius BA, intersecting circle O at F.
<Circle Tool>Construct circle B with center C and radius CA, intersecting circle O at G.
<Line Tool>Construct line FG, intersecting line OB at H, intersecting line OC at I.
<Line Tool>Construct line AH.
<Line Tool>Construct line AI.","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['A', 'O', 'A', 'B', 'C', 'AB', 'AO', 'AC', 'AO'], ['OA'], ['BA', 'F'], ['G', 'CA'], ['I', 'OC', 'H', 'OB', 'FG'], ['AH'], ['AI']]","['A', 'O', 'A', 'B', 'C', 'AB', 'AO', 'AC', 'AO']"
85,Iota,https://euclidea.fandom.com/wiki/Third_Proportional,"Description: Construct a point D on the ray such that the segment AD is the third proportional to the given line segments.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a point D on the ray such that the segment AD is the third proportional to the given line segments.
Solution: ","Construct circle A with center A and radius AB.
Construct circle C with center C and radius CA, intersecting circle A at E.
Construct circle E with center E and radius EA, intersecting circle O at D.
Rationale: We have 



△
A
E
D
∼
△
A
C
E


{\displaystyle \triangle AED\sim \triangle ACE}

, then 



A

E

2


=
A
D
⋅
A
C


{\displaystyle AE^{2}=AD\cdot AC}

, or 



A

B

2


=
A
D
⋅
A
C


{\displaystyle AB^{2}=AD\cdot AC}

, or 





A
C


A
B


=


A
B


A
D




{\displaystyle \frac{AC}{AB}=\frac{AB}{AD}}

.
","<Circle Tool>Construct circle A with center A and radius AB.
<Circle Tool>Construct circle C with center C and radius CA, intersecting circle A at E.
<Circle Tool>Construct circle E with center E and radius EA, intersecting circle O at D.","['Circle Tool', 'Circle Tool', 'Circle Tool']","[['D', 'AD'], ['AB', 'A'], ['E', 'CA', 'C'], ['O', 'EA']]","['D', 'AD']"
86,Iota,https://euclidea.fandom.com/wiki/Harmonic_Mean_of_Trapezoid_Bases,"Description: Join the legs of the trapezoid with a segment that is parallel to the bases and whose length is equal to the harmonic mean of their length.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Join the legs of the trapezoid with a segment that is parallel to the bases and whose length is equal to the harmonic mean of their length.
Solution: ","Construct line AC.
Construct line BD, intersecting line AC at E.
Construct line parallel to AB through E.
Rationale: EG intersects BC,AD at H,I.  By Thalès theorem we have 





E
H

a

=


C
E


C
A


=


B
E


B
D


=


E
I

a



{\displaystyle \frac{EH}{a}=\frac{CE}{CA}=\frac{BE}{BD}=\frac{EI}{a}}

, so 



E
H
=
E
I
=

c
2



{\displaystyle EH=EI=\frac{c}{2}}

, where 



H
I
=
c


{\displaystyle HI=c}

.
","<Line Tool>Construct line AC.
<Line Tool>Construct line BD, intersecting line AC at E.
<Line Tool>Construct line parallel to AB through E.","['Line Tool', 'Line Tool', 'Line Tool']","[[], ['AC'], ['E', 'BD'], ['AB']]",[]
87,Iota,https://euclidea.fandom.com/wiki/Drop_a_Perpendicular*,"Description: Drop a perpendicular from the point to the line passing through the center of the circle using only a straightedge.Let O be the center of the circle, A be the given point, and B and C be the intersections of the circle and line.
Tool List: ['Point Tool', 'Line Tool', 'Intersect Tool']
Solution: ","Description: Drop a perpendicular from the point to the line passing through the center of the circle using only a straightedge.Let O be the center of the circle, A be the given point, and B and C be the intersections of the circle and line.
Solution: ","Construct line AB, intersecting the circle at D.
Construct line CD.
Construct line AC, intersecting the circle at E.
Construct line BE, intersecting CD at F.
Construct line AF.
Rationale: Triangle BCD is inscribed in a circle of diameter BC, so 



D
C
⊥
D
B


{\displaystyle DC \perp DB}

, or 



D
C
⊥
A
B


{\displaystyle DC \perp AB}

. Hence DC is an altitude of triangle ABC.
","<Line Tool>Construct line AB, intersecting the circle at D.
<Line Tool>Construct line CD.
<Line Tool>Construct line AC, intersecting the circle at E.
<Line Tool>Construct line BE, intersecting CD at F.
<Line Tool>Construct line AF.","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['O', 'A', 'B', 'C'], ['AB', 'D'], ['CD'], ['AC', 'E'], ['BE', 'F'], ['AF']]","['O', 'A', 'B', 'C']"
88,Iota,https://euclidea.fandom.com/wiki/Midpoint*,"Description: Construct the midpoint of the segment using only a straightedge. To help you, a line parallel to the segment is given.Given the line AB.
Tool List: ['Point Tool', 'Line Tool', 'Intersect Tool']
Solution: ","Description: Construct the midpoint of the segment using only a straightedge. To help you, a line parallel to the segment is given.Given the line AB.
Solution: ","Construct a line connecting A with an arbitrary point C on the line.
Construct a line connecting B with another arbitrary point D on the line that intersects AC at E.
Construct line AD.
Construct line BC, intersecting AD at F.
Construct line EF, intersecting AB at G.
Point at G.
Rationale: None","<Line Tool>Construct a line connecting A with an arbitrary point C on the line.
<Line Tool>Construct a line connecting B with another arbitrary point D on the line that intersects AC at E.
<Line Tool>Construct line AD.
<Line Tool>Construct line BC, intersecting AD at F.
<Line Tool>Construct line EF, intersecting AB at G.
<Point Tool>Point at G.","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Point Tool']","[['AB'], ['C', 'A'], ['B', 'E', 'AC', 'D'], ['AD'], ['BC', 'F'], ['G', 'EF'], []]",['AB']
89,Iota,https://euclidea.fandom.com/wiki/Trisection_by_Trapezoid_Diagonals,"Description: 3L 5E 2V
Tool List: ['Line Tool']
Solution: ","Description: 3L 5E 2V
Solution: ","Construct line AF, intersecting BD at G.
Construct the line perpendicular to the bisector through G.
Rationale: None","<Line Tool>Construct line AF, intersecting BD at G.
<Line Tool>Construct the line perpendicular to the bisector through G.","['Line Tool', 'Line Tool']","[[], ['G', 'BD', 'AF'], []]",[]
90,Iota,https://euclidea.fandom.com/wiki/Minimum_Perimeter_-_2,"Description: Inscribe a triangle into the given one whose perimeter is the minimum possible.Let A, B, and C be the vertices of the triangle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Inscribe a triangle into the given one whose perimeter is the minimum possible.Let A, B, and C be the vertices of the triangle.
Solution: ","Construct the line perpendicular to AB through C, intersecting AB at D.
Construct the line perpendicular to AC through B, intersecting AC at E.
Construct the line perpendicular to BC through A, intersecting BC at F.
Construct line DE.
Construct line DF.
Construct line EF.
Rationale: None","<Perpendicular Tool>Construct the line perpendicular to AB through C, intersecting AB at D.
<Perpendicular Tool>Construct the line perpendicular to AC through B, intersecting AC at E.
<Perpendicular Tool>Construct the line perpendicular to BC through A, intersecting BC at F.
<Line Tool>Construct line DE.
<Line Tool>Construct line DF.
<Line Tool>Construct line EF.","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['A', 'B', 'C'], ['AB', 'D'], ['AC', 'E'], ['BC', 'F'], ['DE'], ['DF'], ['EF']]","['A', 'B', 'C']"
91,Iota,https://euclidea.fandom.com/wiki/Harmonic_Mean_of_Segments,"Description: Construct a point on the given ray to get a segment with length equal to the harmonic mean of the two adjacent segments.Given line AB, let C be the intersection of AB and the other line.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a point on the given ray to get a segment with length equal to the harmonic mean of the two adjacent segments.Given line AB, let C be the intersection of AB and the other line.
Solution: ","Construct circle C with radius AC, intersecting line C at D and AB at E.
Construct circle D with radius DE.
Construct line DE, intersecting circle D at F.
Construct line BF, intersecting CD at G.
Point at G.
Rationale: None","<Circle Tool>Construct circle C with radius AC, intersecting line C at D and AB at E.
<Circle Tool>Construct circle D with radius DE.
<Line Tool>Construct line DE, intersecting circle D at F.
<Line Tool>Construct line BF, intersecting CD at G.
<Point Tool>Point at G.","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool', 'Point Tool']","[['AB', 'C', 'AB'], ['AC', 'E', 'D'], ['DE'], ['F'], ['CD', 'BF', 'G'], []]","['AB', 'C', 'AB']"
92,Iota,https://euclidea.fandom.com/wiki/Triangle_by_Angle_and_Centroid,"Description: Construct a segment connecting the sides of the angle to get a triangle whose centroid is in the point O.Let O be the vertex of the angle and A the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a segment connecting the sides of the angle to get a triangle whose centroid is in the point O.Let O be the vertex of the angle and A the given point.
Solution: ","Construct the line parallel to one line through A, intersecting the other line at B.
Construct the line parallel to BO through A, intersecting the other line at C.
Construct circle A with radius AB, intersecting AB at D.
Construct circle A with radius AC, intersecting AC at E.
Construct line DE.
Rationale: None","<Line Tool>Construct the line parallel to one line through A, intersecting the other line at B.
<Line Tool>Construct the line parallel to BO through A, intersecting the other line at C.
<Circle Tool>Construct circle A with radius AB, intersecting AB at D.
<Circle Tool>Construct circle A with radius AC, intersecting AC at E.
<Line Tool>Construct line DE.","['Line Tool', 'Line Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['O', 'O', 'A'], ['B'], ['C', 'BO'], ['AB', 'D'], ['AC', 'E'], ['DE']]","['O', 'O', 'A']"
93,Iota,https://euclidea.fandom.com/wiki/Triangle_Mid-Segment,"Description: Construct a mid-segment of the given acute triangle.Let A, B, and C be the vertices of the triangle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a mid-segment of the given acute triangle.Let A, B, and C be the vertices of the triangle.
Solution: ","Construct the perpendicular bisector of AB, intersecting AB at D.
Construct the line parallel to AC through D.
Rationale: Every triangle has three mid-segments, each parallel to one of the legs.  The 2L solution is fairly straight-forward: once a midpoint is found for one of the three legs, creating a line parallel to either remaining leg through that point completes the construction.
","<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at D.
<Line Tool>Construct the line parallel to AC through D.","['Perpendicular Tool', 'Line Tool']","[['A', 'B', 'C'], ['AB', 'D'], ['AC']]","['A', 'B', 'C']"
94,Kappa,https://euclidea.fandom.com/wiki/Tangent_of_Circle,"Description: Construct a tangent to the circle from the external point.Let A be the center and B the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a tangent to the circle from the external point.Let A be the center and B the given point.
Solution: ","Construct line AB.
Construct the perpendicular bisector of AB, intersecting AB at C.
Construct circle C with radius AC, intersecting circle A at D.
Construct line BD.
Rationale: None","<Line Tool>Construct line AB.
<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at C.
<Circle Tool>Construct circle C with radius AC, intersecting circle A at D.
<Line Tool>Construct line BD.","['Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['AB'], ['C'], ['AC', 'D'], ['BD']]","['A', 'B']"
